ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,layer,path,net,emig,inmig,CONT,JOIN_ID,NODE,emig_m1,emig_f1,inmig_m1,inming_f1,TP,exoticas,sp_ex,nativas,nat_spp,proporcion,agemean,ntl00mean,ntl21mean,ntl_dif,tempmean,precipanua,imn_p,ntltrendme,ntl_count,ntl_hab
"53",COL,Colombia,"5",Bolívar,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,52007.000,"23","52030",,,,10,13,24497,27533,888638.000000000116415,673.000000000000000,374.000000000000000,1857.000000000000000,633.000000000000000,0.266007905138340,1619.973613951851121,1.695437571034259,4.554213346322456,2.859,26.015495781805306,2505.187900097120291,0.058550275815349,0.191927919175037,1015.000000000000000,"0"
"249",VEN,Venezuela,"1",Bolivar,,,,,VEN_adm1,C:\Users\pc\Dropbox\PC\Documents\Doctorado\NTL\Paises\Venezuela\VEN_adm\VEN_adm1.shp,45511.000,"8091","53602",LAC,VEN_6,"6",4096,3995,27919,25683,2035711.000000000000000,3271.000000000000000,1010.000000000000000,17396.000000000000000,2996.000000000000000,0.158271640779987,1779.857368600160726,0.250338213524291,0.822698200208240,0.572,24.282913641526228,2455.138818499708123,0.026330849516459,0.072592377394847,1123.000000000000000,"0"
"178",PER,Peru,"5",Ayacucho,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,19008.000,"171","19179",,PER_5,,99,72,10566,8613,616176.000000000000000,0.000000000000000,0.000000000000000,93.000000000000000,58.000000000000000,0.000000000000000,1556.978245135377620,0.109277643337589,2.169299365484652,2.060,8.650960127389746,1002.175370167008168,0.047266973745499,0.128647673813953,210.000000000000000,"0"
"178",PER,Peru,"10",Huancavelica,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,17568.000,"136","17704",,PER_9,,81,55,9543,8161,347639.000000000058208,2.000000000000000,2.000000000000000,63.000000000000000,47.000000000000000,0.030769230769231,1568.948021006258841,0.186797434930215,2.692946058091287,2.506,6.676852551803618,1272.067246629074134,0.028732050582950,0.173301208445976,62.000000000000000,"0"
"178",PER,Peru,"11",Ica,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,39927.000,"205","40132",,PER_11,,122,83,20857,19275,347639.000000000058208,2.000000000000000,2.000000000000000,21.000000000000000,15.000000000000000,0.086956521739130,1564.982763301964951,1.261516765904105,3.717408335944845,2.456,18.913939644280063,126.253626061364372,0.115441593146914,0.150597731024761,1010.000000000000000,"0"
"53",COL,Colombia,"14",Cundinamarca,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,509955.000,"356","510311.00000000006",,COL_11,,190,166,246975,263336,1207665.000000000000000,77475.000000000000000,2186.000000000000000,5557.000000000000000,842.000000000000000,0.933073995567974,1612.768673572677017,6.904884677025992,10.362797017629433,3.458,17.432521326625345,2315.618028620355290,0.422560064256230,0.190211305206397,3823.000000000000000,"0"
"53",COL,Colombia,"17",Huila,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,27938.000,"42","27980",,COL_41,,21,21,14264,13716,1448837.000000000000000,3601.000000000000000,1047.000000000000000,1286.000000000000000,508.000000000000000,0.736852874974422,1620.381992298299338,2.193863378088303,4.255271686518795,2.061,18.424017395757328,2259.702762211690697,0.019312041313136,0.167292381096277,559.000000000000000,"0"
"53",COL,Colombia,"20",Meta,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,37588.000,"52","37640",,COL_50,,24,28,18830,18810,1021943.000000000000000,15840.000000000000000,2887.000000000000000,6437.000000000000000,2727.000000000000000,0.711047268483189,1761.481515599540216,0.414969047833348,2.547538327682938,2.133,24.328255234386781,3112.681761942078538,0.036831799816624,0.171595345840314,1450.000000000000000,"0"
"53",COL,Colombia,"29",Tolima,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,57220.000,"35","57255",,COL_73,,17,18,28591,28664,1326203.000000000000000,7378.000000000000000,1384.000000000000000,1584.000000000000000,605.000000000000000,0.823253738004910,1566.795771074165714,2.450382513661202,4.564153005464482,2.114,19.734144922679899,2555.372488179521952,0.052689264476089,0.164178241832597,835.000000000000000,"0"
"68",ECU,Ecuador,"22",Sucumbios,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,10730.000,"402","11132",,ECU_21,,238,164,6444,4688,176472.000000000000000,5204.000000000000000,1156.000000000000000,6103.000000000000000,1481.000000000000000,0.460245865393119,1814.967677731802951,2.354710556186152,6.279984865682936,3.925,23.032399680427314,3051.952824945200064,0.081615296636265,0.277238714481161,1492.000000000000000,"0"
